anno,Provincia,comune,Abitato,localizzazione,strada,tipologia,feriti,morti
2020,Foggia,Foggia,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,2,0
2020,Foggia,Manfredonia,Nell'Abitato,Strada Provinciale,Rettilineo,Incidente tra veicoli,3,0
2020,Foggia,San Severo,Fuori Abitato,Strada Provinciale,Curva,Incidente tra veicoli,3,0
2020,Foggia,Foggia,Fuori Abitato,Strada Statale,Incrocio,Incidente tra veicoli,0,2
2020,Foggia,Cerignola,Fuori Abitato,Autostrada,Rettilineo,Incidente tra veicoli,1,0
2020,Foggia,San Severo,Fuori Abitato,Strada Statale,Rettilineo,Incidente a veicolo isolato,2,0
2020,Foggia,San Severo,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,3,0
2020,Foggia,Foggia,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,1,1
2020,Foggia,Foggia,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,3,0
2020,Foggia,Foggia,Fuori Abitato,Strada Statale,Incrocio,Incidente tra veicoli,3,0
2020,Foggia,Chieuti,Fuori Abitato,Autostrada,Rettilineo,Incidente tra veicoli,2,1
2020,Foggia,Foggia,Fuori Abitato,Strada Statale,Rotatoria,Incidente tra veicoli,4,1
2020,Foggia,Orta Nova,Nell'Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,1,1
2020,Foggia,San Giovanni Rotondo,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,3,0
2020,Foggia,Cerignola,Nell'Abitato,Strada Urbana,Incrocio,Incidente tra veicoli,2,0
2020,Foggia,San Severo,Nell'Abitato,Strada Urbana,Rettilineo,Incidente tra veicoli,2,0
2020,Foggia,San Severo,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,1,0
2020,Foggia,Rignano Garganico,Fuori Abitato,Strada Provinciale,Rettilineo,Incidente a veicolo isolato,1,0
2020,Foggia,Foggia,Fuori Abitato,Strada Statale,Rettilineo,Incidente a veicolo isolato,4,0
2020,Foggia,Lucera,Fuori Abitato,Strada Statale,Rettilineo,Incidente a veicolo isolato,0,1
2020,Foggia,Lucera,Fuori Abitato,Strada Provinciale,Rettilineo,Incidente a veicolo isolato,1,0
2020,Foggia,Lucera,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,2,0
2020,Foggia,Manfredonia,Nell'Abitato,Strada Urbana,Incrocio,Incidente tra veicoli,2,0
2020,Foggia,Lucera,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,5,0
2020,Foggia,Cerignola,Nell'Abitato,Strada Urbana,Incrocio,Incidente tra veicoli,2,0
2020,Foggia,Casalvecchio di Puglia,Fuori Abitato,Strada Provinciale,Curva,Incidente tra veicoli,2,0
2020,Foggia,Lucera,Fuori Abitato,Strada Statale,Rettilineo,Incidente tra veicoli,2,0
2020,Foggia,Panni,Nell'Abitato,Strada Provinciale,Incrocio,Incidente tra veicoli,9,0
2020,Foggia,Cerignola,Fuori Abitato,Strada comunale extraurbana,Rettilineo,Incidente tra veicoli,2,0
