Transaction_ID,Customer_ID,Product_Code,Quantity,Date
1,43,P007,4,06/05/23T22:05:00
2,8,P001,4,30/04/23T08:24:00
3,29,P007,4,26/04/23T16:08:00
4,13,P002,1,28/04/23T23:31:00
5,7,P008,3,18/01/23T22:28:00
6,1,P009,5,17/01/23T07:12:00
7,12,P007,2,15/01/23T16:17:00
8,16,P007,1,13/05/23T00:08:00
9,24,P006,1,15/04/23T02:16:00
10,48,P009,2,11/05/23T14:51:00
11,20,P006,2,13/06/23T02:09:00
12,32,P005,4,11/04/23T12:52:00
13,14,P009,1,08/05/23T17:11:00
14,17,P010,2,26/04/23T16:25:00
15,20,P010,4,20/05/23T19:09:00
16,32,P006,3,15/04/23T21:40:00
17,38,P005,3,27/05/23T21:05:00
18,14,P001,4,30/03/23T04:50:00
19,18,P003,5,03/01/23T13:43:00
20,19,P008,3,27/03/23T01:38:00
21,25,P001,2,03/03/23T09:28:00
22,7,P009,2,17/02/23T00:18:00
23,30,P005,1,22/04/23T14:36:00
24,26,P004,5,26/01/23T09:05:00
25,40,P004,4,02/03/23T02:31:00
26,24,P002,5,28/04/23T11:25:00
27,13,P010,3,20/04/23T17:31:00
28,49,P010,3,02/05/23T06:06:00
29,9,P004,4,07/05/23T13:36:00
30,23,P004,5,20/01/23T18:01:00
31,24,P006,2,20/05/23T04:06:00
32,24,P008,1,17/01/23T07:20:00
33,15,P007,4,15/02/23T15:59:00
34,37,P008,5,28/03/23T12:23:00
35,44,P007,4,26/04/23T22:31:00
36,41,P001,5,28/04/23T03:16:00
37,4,P007,3,15/02/23T02:47:00
38,46,P002,4,30/03/23T21:37:00
39,8,P001,5,05/06/23T01:30:00
40,8,P010,1,15/04/23T04:12:00
41,12,P002,4,18/01/23T23:46:00
42,31,P010,3,18/02/23T09:53:00
43,47,P010,2,29/03/23T08:50:00
44,38,P005,1,03/06/23T20:48:00
45,29,P006,4,29/06/23T16:18:00
46,46,P006,2,07/01/23T11:10:00
47,14,P003,1,05/02/23T07:50:00
48,28,P010,4,04/05/23T23:48:00
49,1,P009,1,19/04/23T19:08:00
50,43,P010,5,02/06/23T21:36:00
51,42,P004,2,06/01/23T11:07:00
52,49,P008,3,14/02/23T05:17:00
53,7,P003,2,13/02/23T04:30:00
54,42,P002,3,29/03/23T13:44:00
55,40,P006,4,03/02/23T16:24:00
56,27,P002,4,01/03/23T19:09:00
57,40,P009,1,06/06/23T02:11:00
58,3,P003,4,23/06/23T20:55:00
59,8,P001,4,02/06/23T07:32:00
60,18,P003,2,26/01/23T16:13:00
61,26,P003,5,03/01/23T03:57:00
62,35,P002,1,28/05/23T04:22:00
63,3,P008,4,15/02/23T20:57:00
64,14,P002,5,19/01/23T15:01:00
65,31,P007,4,27/01/23T03:37:00
66,50,P002,1,10/03/23T15:22:00
67,29,P008,5,17/01/23T23:19:00
68,16,P009,3,09/01/23T11:15:00
69,19,P007,3,12/03/23T05:44:00
70,35,P008,2,01/03/23T23:59:00
71,35,P005,5,12/04/23T17:38:00
72,10,P003,4,16/02/23T13:27:00
73,14,P007,1,10/02/23T01:16:00
74,30,P008,4,13/06/23T09:08:00
75,24,P001,3,21/05/23T05:25:00
76,3,P003,4,26/02/23T05:48:00
77,47,P004,1,29/06/23T07:39:00
78,16,P001,3,04/06/23T03:20:00
79,17,P009,2,14/01/23T14:47:00
80,28,P007,4,25/05/23T12:59:00
81,22,P010,5,27/05/23T22:26:00
82,3,P010,4,20/02/23T10:42:00
83,18,P010,4,23/06/23T19:44:00
84,33,P003,4,19/04/23T09:06:00
85,40,P008,4,04/03/23T02:36:00
86,3,P002,4,08/06/23T15:54:00
87,44,P002,3,28/04/23T23:13:00
88,7,P009,1,03/02/23T02:40:00
89,42,P006,1,17/06/23T10:11:00
90,34,P006,2,06/01/23T17:14:00
91,24,P003,1,29/01/23T20:45:00
92,38,P008,2,17/01/23T13:48:00
93,1,P004,2,19/06/23T19:30:00
94,42,P007,5,21/06/23T09:55:00
95,48,P007,5,09/01/23T13:19:00
96,3,P010,3,07/01/23T19:46:00
97,6,P006,5,18/02/23T06:20:00
98,19,P003,1,28/04/23T19:07:00
99,8,P005,1,26/05/23T10:55:00
100,8,P006,3,09/02/23T06:37:00
